iter	Passed	Remaining
0	108	108440
1	110	54980
2	111	37024
3	112	28063
4	113	22684
5	115	19077
6	116	16497
7	117	14562
8	118	13057
9	119	11869
10	121	10890
11	122	10075
12	123	9384
13	124	8791
14	126	8283
15	127	7826
16	128	7424
17	129	7063
18	130	6740
19	131	6457
20	132	6195
21	133	5955
22	135	5743
23	136	5547
24	137	5375
25	139	5209
26	140	5053
27	141	4905
28	142	4767
29	143	4640
30	144	4519
31	145	4405
32	146	4298
33	147	4200
34	148	4106
35	150	4026
36	151	3945
37	152	3867
38	153	3794
39	155	3724
40	156	3656
41	157	3590
42	158	3530
43	159	3469
44	160	3414
45	161	3359
46	163	3309
47	164	3266
48	166	3224
49	167	3178
50	168	3133
51	169	3089
52	170	3046
53	171	3006
54	172	2969
55	173	2931
56	174	2894
57	176	2860
58	177	2825
59	178	2800
60	179	2769
61	181	2738
62	182	2707
63	183	2677
64	184	2649
65	185	2623
66	186	2597
67	187	2571
68	188	2548
69	190	2526
70	191	2504
71	192	2480
72	193	2458
73	194	2437
74	195	2416
75	197	2397
76	198	2377
77	199	2356
78	200	2336
79	201	2316
80	202	2297
81	203	2279
82	204	2255
83	205	2238
84	206	2221
85	207	2204
86	208	2190
87	209	2175
88	211	2160
89	212	2145
90	213	2130
91	214	2115
92	215	2102
93	216	2088
94	217	2074
95	218	2060
96	219	2046
97	220	2033
98	221	2020
99	223	2013
100	225	2003
101	226	1992
102	227	1982
103	228	1972
104	230	1961
105	231	1949
106	232	1937
107	233	1927
108	234	1916
109	235	1905
110	236	1895
111	238	1888
112	239	1880
113	240	1870
114	241	1861
115	242	1851
116	243	1839
117	244	1830
118	245	1820
119	246	1810
120	247	1801
121	248	1790
122	249	1782
123	251	1773
124	252	1765
125	253	1758
126	254	1748
127	255	1739
128	256	1731
129	257	1723
130	258	1715
131	259	1707
132	260	1699
133	261	1691
134	262	1683
135	263	1676
136	264	1669
137	266	1661
138	267	1654
139	268	1648
140	269	1641
141	270	1632
142	271	1625
